YYYYMMDD,VWID,VWI,EWID,EWI,SP500,YYYY,day
19260619,0.008609,0.008609,0.004816,0.004816,,1926,6
19260621,0.00367,0.003537,0.006166,0.005887,,1926,1
19260622,0.001487,0.001471,0.001036,0.001006,,1926,2
19260623,-0.0083,-0.008316,-0.008745,-0.0088,,1926,3
19260624,0.002979,0.002979,0.002011,0.002011,,1926,4
19260625,-0.003642,-0.004315,-0.005621,-0.005839,,1926,5
19260626,0.000542,0.000542,0.001858,0.001858,,1926,6
19260628,0.002513,0.002485,0.002263,0.002184,,1926,1
19260629,0.005431,0.005404,0.005552,0.005523,,1926,2
19260630,0.00243,0.001757,0.002451,0.001811,,1926,3
19260701,0.0012,0.001076,0.001645,0.001406,,1926,4
19260702,0.00458,0.00438,0.002131,0.001895,,1926,5
19260706,0.001763,0.001743,0.001349,0.001336,,1926,2
19260707,0.000933,0.000916,-0.001107,-0.001184,,1926,3
19260708,0.002298,0.002298,0.004022,0.004022,,1926,4
19260709,-0.006943,-0.007155,-0.004331,-0.004564,,1926,5
19260710,0.006049,0.006049,0.004114,0.004114,,1926,6
19260712,0.000574,0.000517,0.00019,0.000126,,1926,1
19260713,0.004861,0.004861,0.004357,0.004357,,1926,2
19260714,0.000547,0.000547,0.000111,0.000111,,1926,3
19260715,-0.004272,-0.004836,-0.001568,-0.002063,,1926,4
19260716,0.005227,0.004985,0.004378,0.004093,,1926,5
19260717,0.00362,0.00362,0.003605,0.003605,,1926,6
19260719,0.000018,-0.000003,-0.00003,-0.000108,,1926,1
19260720,-0.005616,-0.005904,-0.006257,-0.006511,,1926,2
19260721,-0.006022,-0.006059,-0.004746,-0.004769,,1926,3
19260722,-0.007135,-0.007135,-0.008241,-0.008241,,1926,4
19260723,-0.000031,-0.00022,0.000913,0.000804,,1926,5
19260724,-0.001188,-0.001188,0.00229,0.00229,,1926,6
19260726,0.005304,0.005304,0.001363,0.001363,,1926,1
19260727,0.004295,0.004295,0.003055,0.003055,,1926,2
19260728,0.010862,0.010862,0.010771,0.010771,,1926,3
19260729,0.003664,0.003664,-0.003657,-0.003657,,1926,4
19260730,0.001424,0.001232,0.001091,0.000907,,1926,5
19260731,0.004655,0.004655,0.004031,0.004031,,1926,6
19260802,0.008362,0.008065,0.007227,0.007091,,1926,1
19260803,0.004673,0.004596,0.003356,0.003329,,1926,2
19260804,-0.003577,-0.003585,-0.000513,-0.000532,,1926,3
19260805,-0.000813,-0.000864,0.001886,0.001815,,1926,4
19260806,0.00696,0.006934,0.006335,0.00632,,1926,5
19260807,0.004663,0.004663,0.005135,0.005135,,1926,6
19260809,0.002218,0.002218,0.001342,0.001342,,1926,1
19260810,-0.013932,-0.014457,-0.010122,-0.010318,,1926,2
19260811,-0.005478,-0.005478,0.000108,0.000108,,1926,3
19260812,0.00854,0.008538,0.002935,0.002853,,1926,4
19260813,0.005784,0.005553,0.000348,0.000111,,1926,5
19260814,0.006816,0.006816,0.005657,0.005657,,1926,6
19260816,0.000951,0.000481,0.004558,0.004113,,1926,1
19260817,-0.009347,-0.009367,-0.006866,-0.006902,,1926,2
19260818,0.00275,0.002733,0.002526,0.00247,,1926,3
19260819,-0.005926,-0.005979,-0.004639,-0.004677,,1926,4
19260820,-0.001728,-0.002136,-0.001743,-0.001943,,1926,5
19260821,0.003406,0.003406,0.004894,0.004894,,1926,6
19260823,0.004871,0.004869,0.002803,0.002791,,1926,1
19260824,-0.008337,-0.008337,-0.006006,-0.006006,,1926,2
19260825,-0.00318,-0.00319,-0.004046,-0.004062,,1926,3
19260826,0.005514,0.005331,0.005817,0.005806,,1926,4
19260827,0.00337,0.003105,0.003319,0.003171,,1926,5
19260828,0.00346,0.00346,0.004913,0.004913,,1926,6
19260830,0.003094,0.003094,0.003481,0.003481,,1926,1
19260831,0.005925,0.005307,0.003607,0.003383,,1926,2
19260901,0.005476,0.004745,0.005495,0.005186,,1926,3
19260902,-0.000414,-0.000414,0.001071,0.001071,,1926,4
19260903,0.005283,0.004758,0.003247,0.003024,,1926,5
19260907,0.005821,0.00552,0.005307,0.005206,,1926,2
19260908,-0.00505,-0.005179,-0.00513,-0.005255,,1926,3
19260909,-0.000588,-0.000681,-0.000921,-0.00102,,1926,4
19260910,-0.008054,-0.00829,-0.004526,-0.004894,,1926,5
19260911,-0.0043,-0.0043,-0.002435,-0.002435,,1926,6
19260913,-0.000149,-0.000199,-0.000474,-0.000548,,1926,1
19260914,0.008906,0.008847,0.007891,0.007813,,1926,2
19260915,-0.001864,-0.003024,-0.000633,-0.001963,,1926,3
19260916,-0.001748,-0.001814,-0.005341,-0.005452,,1926,4
19260917,-0.010064,-0.010534,-0.011433,-0.011815,,1926,5
19260918,0.006962,0.006962,0.005862,0.005862,,1926,6
19260920,-0.006176,-0.007189,-0.00758,-0.008067,,1926,1
19260921,0.003067,0.002992,0.002285,0.002219,,1926,2
19260922,-0.001138,-0.001156,-0.000968,-0.001038,,1926,3
19260923,0.002614,0.002607,0.001874,0.001804,,1926,4
19260924,0.006307,0.006129,0.005744,0.005588,,1926,5
19260925,0.002228,0.002228,0.001865,0.001865,,1926,6
19260927,-0.001205,-0.001304,-0.000675,-0.000788,,1926,1
19260928,0.000021,0.000011,-0.001015,-0.001078,,1926,2
19260929,-0.0029,-0.0029,-0.001639,-0.001639,,1926,3
19260930,0.003077,0.00253,0.003339,0.002816,,1926,4
19261001,0.007404,0.007281,0.00382,0.003588,,1926,5
19261002,-0.000921,-0.000921,0.001629,0.001629,,1926,6
19261004,-0.013722,-0.013805,-0.014004,-0.014082,,1926,1
19261005,-0.010924,-0.011181,-0.010482,-0.010599,,1926,2
19261006,-0.005597,-0.005597,-0.010973,-0.010973,,1926,3
19261007,-0.007345,-0.007362,-0.003343,-0.00342,,1926,4
19261008,0.005984,0.005869,0.00673,0.006612,,1926,5
19261009,-0.009203,-0.009203,-0.006003,-0.006003,,1926,6
19261011,-0.006713,-0.006832,-0.008007,-0.008113,,1926,1
19261013,0.006953,0.006953,0.004594,0.004594,,1926,3
19261014,0.009733,0.009684,0.007266,0.007184,,1926,4
19261015,-0.017962,-0.018595,-0.016489,-0.017161,,1926,5
19261016,-0.007117,-0.007117,-0.008068,-0.008068,,1926,6
19261018,0.00693,0.006927,0.007919,0.007885,,1926,1
19261019,-0.010099,-0.010099,-0.010101,-0.010101,,1926,2
19261020,-0.002423,-0.002623,-0.008151,-0.008474,,1926,3
19261021,0.015238,0.01519,0.015715,0.01564,,1926,4
19261022,-0.003869,-0.003888,0.000126,0.000081,,1926,5
19261023,0.005567,0.005567,0.009072,0.009072,,1926,6
19261025,-0.000788,-0.000825,-0.000904,-0.000985,,1926,1
19261026,0.003316,0.003316,0.004824,0.004824,,1926,2
19261027,0.010061,0.010061,0.007475,0.007475,,1926,3
19261028,-0.000702,-0.000769,0.000708,0.000681,,1926,4
19261029,-0.000453,-0.000859,0.000682,0.000507,,1926,5
19261030,-0.002335,-0.002335,-0.000669,-0.000669,,1926,6
19261101,0.004693,0.004329,0.004053,0.003775,,1926,1
19261103,0.001943,0.001943,0.001002,0.001002,,1926,3
19261104,0.006036,0.005996,0.008083,0.008054,,1926,4
19261105,0.000837,0.000731,-0.000182,-0.000264,,1926,5
19261106,0.001718,0.001718,0.000935,0.000935,,1926,6
19261108,0.00527,0.005189,0.003343,0.003295,,1926,1
19261109,0.001374,0.001374,0.002272,0.002272,,1926,2
19261110,-0.00586,-0.00658,-0.004843,-0.005169,,1926,3
19261111,0.006825,0.006825,0.008575,0.008575,,1926,4
19261112,0.00248,0.002471,0.00197,0.001944,,1926,5
19261113,-0.002182,-0.002182,-0.001893,-0.001893,,1926,6
19261115,0.003772,0.002952,0.00342,0.002761,,1926,1
19261116,0.001561,0.001526,0.0019,0.001804,,1926,2
19261117,-0.003332,-0.003337,-0.003969,-0.004006,,1926,3
19261118,-0.004568,-0.004672,-0.003984,-0.004036,,1926,4
19261119,-0.006343,-0.008176,-0.001917,-0.00226,,1926,5
19261120,0.004037,0.004037,0.004684,0.004684,,1926,6
19261122,0.005694,0.005694,0.004023,0.004023,,1926,1
19261123,0.003453,0.00345,0.004109,0.004098,,1926,2
19261124,0.000947,0.000947,0.000458,0.000458,,1926,3
19261126,0.002354,0.001849,0.002079,0.001904,,1926,5
19261127,-0.001375,-0.001375,-0.001981,-0.001981,,1926,6
19261129,-0.003448,-0.003448,-0.00378,-0.00378,,1926,1
19261130,0.002843,0.00207,0.003198,0.002909,,1926,2
19261201,0.003624,0.002213,0.004056,0.003544,,1926,3
19261202,0.005067,0.005031,0.003977,0.003939,,1926,4
19261203,0.003158,0.002574,0.004593,0.004308,,1926,5
19261204,-0.001536,-0.001536,0.001505,0.001505,,1926,6
19261206,0.000454,0.000387,-0.001855,-0.001919,,1926,1
19261207,-0.000222,-0.000231,0.003876,0.003858,,1926,2
19261208,-0.000791,-0.000923,-0.00026,-0.000554,,1926,3
19261209,0.004395,0.004339,0.004375,0.004301,,1926,4
19261210,0.003724,0.003033,0.005632,0.004951,,1926,5
19261211,0.001054,0.001054,0.002224,0.002224,,1926,6
19261213,0.00424,0.004068,0.005839,0.005556,,1926,1
19261214,0.001113,0.001093,0.001795,0.001728,,1926,2
19261215,0.002069,0.000751,0.002455,0.000994,,1926,3
19261216,-0.005997,-0.006135,-0.007241,-0.007437,,1926,4
19261217,0.009088,0.007736,0.005399,0.004851,,1926,5
19261218,0.004261,0.004261,0.003813,0.003813,,1926,6
19261220,-0.002708,-0.002886,-0.001344,-0.001762,,1926,1
19261221,-0.000231,-0.000256,-0.001428,-0.001519,,1926,2
19261222,0.000128,0.000094,-0.002485,-0.0026,,1926,3
19261223,0.003037,0.00297,0.002258,0.002221,,1926,4
19261224,0.003072,0.002982,0.00344,0.003267,,1926,5
19261227,-0.001925,-0.001998,-0.003055,-0.003177,,1926,1
19261228,-0.010793,-0.010793,-0.013965,-0.013965,,1926,2
19261229,0.004597,0.004597,0.004768,0.004768,,1926,3
19261230,-0.003402,-0.003915,-0.000179,-0.00036,,1926,4
19261231,0.003473,0.002803,0.007736,0.007088,,1926,5
19270103,-0.007792,-0.007965,-0.002992,-0.003164,,1927,1
19270104,0.003069,0.003055,0.004951,0.004907,,1927,2
19270105,0.001561,0.001539,0.003555,0.003463,,1927,3
19270106,-0.001545,-0.001585,-0.000953,-0.001083,,1927,4
19270107,0.003344,0.003184,0.002966,0.002839,,1927,5
19270108,0.003936,0.003936,0.006565,0.006565,,1927,6
19270110,0.001575,0.001414,0.003001,0.002819,,1927,1
19270111,-0.002796,-0.002811,-0.001963,-0.00199,,1927,2
19270112,0.000817,0.000817,-0.000095,-0.000095,,1927,3
19270113,-0.000336,-0.000419,0.000673,0.000624,,1927,4
19270114,0.000482,-0.000418,-0.001561,-0.00239,,1927,5
19270115,0.001517,0.001517,0.005151,0.005151,,1927,6
19270117,-0.000384,-0.000384,-0.000899,-0.000899,,1927,1
19270118,-0.00051,-0.00051,0.000385,0.000385,,1927,2
19270119,0.005986,0.005974,0.00436,0.004315,,1927,3
19270120,-0.001564,-0.001847,-0.002167,-0.002383,,1927,4
19270121,-0.000027,-0.000131,0.004394,0.004228,,1927,5
19270122,-0.003453,-0.003453,-0.002802,-0.002802,,1927,6
19270124,-0.00461,-0.004636,-0.002166,-0.002237,,1927,1
19270125,-0.010575,-0.010575,-0.014096,-0.014096,,1927,2
19270126,0.002111,0.002111,0.002475,0.002399,,1927,3
19270127,-0.003505,-0.003505,-0.004622,-0.004622,,1927,4
19270128,0.001686,0.001485,0.004123,0.004064,,1927,5
19270129,0.007384,0.007384,0.005546,0.005546,,1927,6
19270131,0.006522,0.006348,0.006307,0.006151,,1927,1
19270201,-0.000077,-0.000412,0.003404,0.003124,,1927,2
19270202,0.007522,0.007497,0.009497,0.009482,,1927,3
19270203,0.001981,0.001968,0.001313,0.001251,,1927,4
19270204,0.003601,0.003531,0.003778,0.00368,,1927,5
19270205,-0.001772,-0.001772,0.000549,0.000549,,1927,6
19270207,-0.001283,-0.001519,0.000914,0.000853,,1927,1
19270208,0.001042,0.001042,0.004006,0.004006,,1927,2
19270209,0.000411,0.000411,-0.002213,-0.002213,,1927,3
19270210,0.001077,0.000448,0.006927,0.006665,,1927,4
19270211,0.003158,0.003158,0.004396,0.004396,,1927,5
19270214,0.004909,0.004892,0.005904,0.005837,,1927,1
19270215,0.001157,0.000488,0.001952,0.001289,,1927,2
19270216,0.000231,0.000231,0.002337,0.002337,,1927,3
19270217,0.003287,0.003272,0.003654,0.003606,,1927,4
19270218,0.003039,0.002079,0.000842,0.000559,,1927,5
19270219,0.000087,0.000087,0.001367,0.001367,,1927,6
19270221,-0.001482,-0.001508,-0.00052,-0.000684,,1927,1
19270223,0.007267,0.007242,0.007727,0.007687,,1927,3
19270224,0.001484,0.001474,0.001198,0.001184,,1927,4
19270225,0.002336,0.001835,0.003865,0.003778,,1927,5
19270226,0.000733,0.000733,0.000499,0.000499,,1927,6
19270228,0.005863,0.005277,0.005169,0.004916,,1927,1
19270301,-0.003648,-0.004488,-0.006302,-0.006641,,1927,2
19270302,-0.011422,-0.011422,-0.01081,-0.01081,,1927,3
19270303,0.010289,0.010286,0.006467,0.006442,,1927,4
19270304,-0.004491,-0.005406,-0.001816,-0.002153,,1927,5
19270305,-0.002308,-0.002308,-0.000713,-0.000713,,1927,6
19270307,-0.003621,-0.003664,-0.005224,-0.005291,,1927,1
19270308,0.001291,0.001217,-0.003051,-0.003075,,1927,2
19270309,0.005055,0.004999,0.005593,0.005533,,1927,3
19270310,0.004607,0.004516,0.004417,0.004236,,1927,4
19270311,0.001669,0.001434,0.003601,0.003237,,1927,5
19270312,-0.000183,-0.000183,0.002787,0.002787,,1927,6
19270314,0.001816,0.001461,-0.001713,-0.002062,,1927,1
19270315,-0.007828,-0.009346,-0.009347,-0.010491,,1927,2
19270316,0.010139,0.010071,0.003415,0.00334,,1927,3
19270317,0.004147,0.00375,0.002465,0.002278,,1927,4
19270318,-0.007786,-0.007971,-0.008375,-0.008705,,1927,5
19270319,0.00042,0.00042,0.002612,0.002612,,1927,6
19270321,0.001812,0.001637,-0.002061,-0.002489,,1927,1
19270322,-0.010282,-0.010284,-0.010153,-0.010182,,1927,2
19270323,0.002014,0.00199,0.001688,0.001607,,1927,3
19270324,0.006783,0.00676,0.007255,0.007184,,1927,4
19270325,0.001774,0.001543,0.003053,0.002766,,1927,5
19270326,0.003387,0.003387,0.002015,0.002015,,1927,6
19270328,0.005257,0.005229,0.005969,0.005948,,1927,1
19270329,-0.002183,-0.002183,-0.004104,-0.004104,,1927,2
19270330,-0.005828,-0.005848,-0.004201,-0.004226,,1927,3
19270331,0.003174,0.002424,0.001616,0.001103,,1927,4
19270401,-0.00058,-0.000831,-0.002104,-0.00243,,1927,5
19270402,-0.00079,-0.00079,-0.000072,-0.000072,,1927,6
19270404,0.00533,0.005251,0.005942,0.005875,,1927,1
19270405,0.00598,0.005856,0.003564,0.003455,,1927,2
19270406,0.001145,0.001145,0.002395,0.002395,,1927,3
19270407,0.002557,0.002536,-0.000079,-0.000179,,1927,4
19270408,0.003355,0.00321,0.005314,0.00518,,1927,5
19270409,0.000425,0.000425,0.000782,0.000782,,1927,6
19270411,0.002125,0.001966,0.004744,0.004583,,1927,1
19270412,-0.00273,-0.002744,0.000971,0.00095,,1927,2
19270413,0.002052,0.001993,0.001697,0.001609,,1927,3
19270414,0.00094,0.000478,0.004212,0.00365,,1927,4
19270416,0.001998,0.001998,0.004763,0.004763,,1927,6
19270418,-0.000288,-0.000366,0.000709,0.00061,,1927,1
19270419,0.001782,0.001782,0.001273,0.001273,,1927,2
19270420,0.00275,0.002524,0.003773,0.003476,,1927,3
19270421,0.003795,0.003656,-0.000074,-0.000126,,1927,4
19270422,0.000968,0.000953,-0.002665,-0.002702,,1927,5
19270423,-0.003511,-0.003511,-0.001237,-0.001237,,1927,6
19270425,-0.015518,-0.015518,-0.014357,-0.014357,,1927,1
19270426,0.006019,0.006019,0.003715,0.003715,,1927,2
19270427,-0.003781,-0.003781,-0.005659,-0.005659,,1927,3
19270428,-0.010868,-0.011033,-0.009995,-0.010025,,1927,4
19270429,0.004749,0.004615,0.005515,0.005412,,1927,5
19270430,-0.000044,-0.000044,0.001478,0.001478,,1927,6
19270502,0.002764,0.002449,0.005488,0.005258,,1927,1
19270503,0.007517,0.007517,0.009277,0.009277,,1927,2
19270504,0.007727,0.007727,0.007715,0.007715,,1927,3
19270505,0.003081,0.003014,0.003003,0.002861,,1927,4
19270506,0.002889,0.002626,0.002968,0.002905,,1927,5
19270507,0.003021,0.003021,0.002836,0.002836,,1927,6
19270509,0.002016,0.001993,0.003534,0.00352,,1927,1
19270510,-0.00073,-0.001129,-0.002363,-0.002516,,1927,2
19270511,-0.001226,-0.001272,0.000645,0.000623,,1927,3
19270512,-0.001008,-0.001008,-0.003398,-0.003398,,1927,4
19270513,0.00506,0.004852,0.004085,0.003788,,1927,5
19270514,0.000344,0.000344,0.001093,0.001093,,1927,6
19270516,-0.00702,-0.007506,-0.004814,-0.005292,,1927,1
19270517,0.00471,0.004705,0.004089,0.004053,,1927,2
19270518,0.005111,0.005066,0.002508,0.002484,,1927,3
19270519,0.001937,0.001933,0.000425,0.000398,,1927,4
19270520,0.004778,0.00368,0.003375,0.003113,,1927,5
19270521,0.002583,0.002583,0.005704,0.005704,,1927,6
19270523,0.001814,0.001808,0.003228,0.003159,,1927,1
19270524,-0.001359,-0.001366,0.000139,-0.00058,,1927,2
19270525,0.001708,0.001677,0.003011,0.002966,,1927,3
19270526,0.001479,0.00121,0.001761,0.001742,,1927,4
19270527,0.004528,0.004064,0.009107,0.008917,,1927,5
19270528,0.001483,0.001483,0.000769,0.000769,,1927,6
19270531,0.002618,0.002344,0.000036,-0.000148,,1927,2
19270601,0.00339,0.002542,0.002718,0.002362,,1927,3
19270602,0.000789,0.000687,0.001789,0.001767,,1927,4
19270603,-0.008892,-0.009721,-0.00907,-0.009434,,1927,5
19270604,0.004619,0.004619,0.004629,0.004629,,1927,6
19270606,0.005056,0.005024,0.005263,0.00522,,1927,1
19270607,-0.002392,-0.002755,0.000497,0.000471,,1927,2
19270608,0.002783,0.002651,0.003173,0.003102,,1927,3
19270609,0.00029,0.000228,0.002455,0.002333,,1927,4
19270610,-0.003907,-0.00445,-0.004353,-0.005228,,1927,5
19270611,-0.000962,-0.000962,-0.001314,-0.001314,,1927,6
19270614,-0.01497,-0.015104,-0.014408,-0.0146,,1927,2
19270615,0.009121,0.008521,0.011094,0.009964,,1927,3
19270616,0.006305,0.006252,0.004317,0.00424,,1927,4
19270617,0.001667,0.001139,0.006612,0.006229,,1927,5
19270618,-0.001167,-0.001167,0.001831,0.001831,,1927,6
19270620,-0.001843,-0.002725,-0.003525,-0.004045,,1927,1
19270621,-0.003491,-0.003491,-0.000407,-0.000407,,1927,2
